No.,Time,Source,Destination,Protocol,Length,Info
1,13:53.1,192.168.99.5,199.111.115.11,DNS,100,Standard query 0x076a AAAA connectivity-check.ubuntu.com OPT
2,13:53.2,199.111.115.11,192.168.99.5,DNS,436,Standard query response 0x076a AAAA connectivity-check.ubuntu.com AAAA 2620:2d:4000:1::96 AAAA 2620:2d:4000:1::97 AAAA 2620:2d:4000:1::98 AAAA 2620:2d:4002:1::196 AAAA 2620:2d:4002:1::197 AAAA 2620:2d:4002:1::198 AAAA 2001:67c:1562::23 AAAA 2001:67c:1562::24 AAAA 2620:2d:4000:1::22 AAAA 2620:2d:4000:1::23 AAAA 2620:2d:4000:1::2a AAAA 2620:2d:4000:1::2b OPT
3,13:54.7,192.168.99.7,239.255.255.250,SSDP,218,M-SEARCH * HTTP/1.1 
4,13:55.7,192.168.99.7,239.255.255.250,SSDP,218,M-SEARCH * HTTP/1.1 
5,13:56.7,192.168.99.7,239.255.255.250,SSDP,218,M-SEARCH * HTTP/1.1 
6,13:57.7,192.168.99.7,239.255.255.250,SSDP,218,M-SEARCH * HTTP/1.1 
7,13:58.3,PCSSystemtec_ff:1e:bb,52:54:00:12:35:00,ARP,42,Who has 192.168.99.1? Tell 192.168.99.5
8,13:58.3,52:54:00:12:35:00,PCSSystemtec_ff:1e:bb,ARP,60,192.168.99.1 is at 52:54:00:12:35:00
9,14:02.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.0? Tell 192.168.99.6
10,14:02.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.2? Tell 192.168.99.6
11,14:02.3,192.168.99.2,192.168.99.5,TCP,60,60685  >  22 [SYN] Seq=0 Win=32768 Len=0 MSS=1460
12,14:02.3,PCSSystemtec_ff:1e:bb,Broadcast,ARP,42,Who has 192.168.99.2? Tell 192.168.99.5
13,14:02.3,52:54:00:12:35:00,PCSSystemtec_ff:1e:bb,ARP,60,192.168.99.2 is at 52:54:00:12:35:00
14,14:02.3,192.168.99.5,192.168.99.2,TCP,58,"22  >  60685 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
15,14:02.3,192.168.99.2,192.168.99.5,TCP,60,60685  >  22 [ACK] Seq=1 Ack=1 Win=32768 Len=0
16,14:02.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.4? Tell 192.168.99.6
17,14:02.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.5? Tell 192.168.99.6
18,14:02.4,PCSSystemtec_ff:1e:bb,PCSSystemtec_64:2e:f9,ARP,42,192.168.99.5 is at 08:00:27:ff:1e:bb
19,14:02.4,192.168.99.6,192.168.99.5,ICMP,74,"Echo (ping) request  id=0x0001, seq=6/1536, ttl=128 (reply in 20)"
20,14:02.4,192.168.99.5,192.168.99.6,ICMP,74,"Echo (ping) reply    id=0x0001, seq=6/1536, ttl=64 (request in 19)"
21,14:02.4,192.168.99.5,192.168.99.2,SSH,95,Server: Protocol (SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.6)
22,14:02.4,192.168.99.5,192.168.99.2,TCP,95,"[TCP Retransmission] 22  >  60685 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=41"
23,14:02.6,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.0? Tell 192.168.99.6
24,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49949  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
25,14:02.6,192.168.99.5,192.168.99.6,TCP,66,"22  >  49949 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
26,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49950  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
27,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"80  >  49950 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
28,14:02.6,192.168.99.6,192.168.99.5,TCP,60,49949  >  22 [ACK] Seq=1 Ack=1 Win=262656 Len=0
29,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49951  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
30,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"135  >  49951 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
31,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49952  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
32,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"443  >  49952 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
33,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49953  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
34,14:02.6,192.168.99.5,192.168.99.6,TCP,66,"445  >  49953 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
35,14:02.6,192.168.99.6,192.168.99.5,TCP,60,49953  >  445 [ACK] Seq=1 Ack=1 Win=2102272 Len=0
36,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49954  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
37,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"2222  >  49954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
38,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49955  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
39,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"3306  >  49955 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
40,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49956  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
41,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49957  >  5985 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
42,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"3389  >  49956 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
43,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"5985  >  49957 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
44,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49958  >  5986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
45,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49959  >  7001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
46,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49960  >  8008 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
47,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"5986  >  49958 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
48,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"7001  >  49959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
49,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8008  >  49960 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
50,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49961  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
51,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8080  >  49961 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
52,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49962  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
53,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8088  >  49962 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
54,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49963  >  8983 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
55,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"8983  >  49963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
56,14:02.6,192.168.99.6,192.168.99.5,TCP,66,49964  >  9600 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
57,14:02.6,192.168.99.5,192.168.99.6,TCP,54,"9600  >  49964 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
58,14:02.6,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.7? Tell 192.168.99.6
59,14:02.7,192.168.99.5,192.168.99.6,SSH,95,Server: Protocol (SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.6)
60,14:02.7,192.168.99.5,192.168.99.6,TCP,95,"[TCP Retransmission] 22  >  49949 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=41"
61,14:02.7,192.168.99.5,192.168.99.2,TCP,95,"[TCP Retransmission] 22  >  60685 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=41"
62,14:02.7,192.168.99.2,192.168.99.5,TCP,60,60685  >  22 [ACK] Seq=1 Ack=42 Win=32727 Len=0
63,14:02.8,192.168.99.6,192.168.99.5,TCP,60,49949  >  22 [ACK] Seq=1 Ack=42 Win=262656 Len=0
64,14:02.8,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.9? Tell 192.168.99.6
65,14:03.0,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.8? Tell 192.168.99.6
66,14:03.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.10? Tell 192.168.99.6
67,14:03.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.4? Tell 192.168.99.6
68,14:03.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.11? Tell 192.168.99.6
69,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49955  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
70,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49959  >  7001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
71,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49961  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
72,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"3306  >  49955 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
73,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"7001  >  49959 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
74,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8080  >  49961 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
75,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49964  >  9600 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
76,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"9600  >  49964 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
77,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49950  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
78,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"80  >  49950 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
79,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49951  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
80,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49952  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
81,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"135  >  49951 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
82,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"443  >  49952 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
83,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49954  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
84,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49956  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
85,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"2222  >  49954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
86,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"3389  >  49956 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
87,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49957  >  5985 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
88,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49958  >  5986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
89,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"5985  >  49957 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
90,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"5986  >  49958 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
91,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49960  >  8008 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
92,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49962  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
93,14:03.2,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49963  >  8983 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
94,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8008  >  49960 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
95,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8088  >  49962 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
96,14:03.2,192.168.99.5,192.168.99.6,TCP,54,"8983  >  49963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
97,14:03.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.12? Tell 192.168.99.6
98,14:03.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.13? Tell 192.168.99.6
99,14:03.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.14? Tell 192.168.99.6
100,14:03.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.16? Tell 192.168.99.6
101,14:03.4,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.15? Tell 192.168.99.6
102,14:04.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.0? Tell 192.168.99.6
