"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.99.4","199.111.115.11","DNS","92","Standard query 0xd5c4 A watson.events.data.microsoft.com"
"2","0.019563","199.111.115.11","192.168.99.4","DNS","214","Standard query response 0xd5c4 A watson.events.data.microsoft.com CNAME blobcollectorcommon.trafficmanager.net CNAME onedsblobprdeus16.eastus.cloudapp.azure.com A 52.168.117.173"
"3","0.069888","192.168.99.4","52.168.117.173","TCP","74","50279  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM TSval=2190842 TSecr=0"
"4","0.168071","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"5","0.168170","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0"
"6","0.196512","192.168.99.4","52.168.117.173","TLSv1.2","271","Client Hello (SNI=watson.events.data.microsoft.com)"
"7","0.250708","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [ACK] Seq=1 Ack=218 Win=32551 Len=0"
"8","0.336121","52.168.117.173","192.168.99.4","TCP","1436","443  >  50279 [PSH, ACK] Seq=1 Ack=218 Win=32551 Len=1382 [TCP segment of a reassembled PDU]"
"9","0.399430","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [ACK] Seq=218 Ack=1383 Win=63778 Len=0"
"10","0.401586","52.168.117.173","192.168.99.4","TCP","1436","443  >  50279 [PSH, ACK] Seq=1383 Ack=218 Win=32551 Len=1382 [TCP segment of a reassembled PDU]"
"11","0.457503","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [ACK] Seq=218 Ack=2765 Win=64240 Len=0"
"12","0.458276","52.168.117.173","192.168.99.4","TCP","1436","443  >  50279 [PSH, ACK] Seq=2765 Ack=218 Win=32551 Len=1382 [TCP segment of a reassembled PDU]"
"13","0.530292","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [ACK] Seq=218 Ack=4147 Win=62858 Len=0"
"14","0.530610","52.168.117.173","192.168.99.4","TLSv1.2","392","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"15","0.558224","192.168.99.4","52.168.117.173","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"16","0.678934","52.168.117.173","192.168.99.4","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"17","0.731740","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [ACK] Seq=376 Ack=4536 Win=64189 Len=0"
"18","0.753372","192.168.99.4","52.168.117.173","TLSv1.2","1168","Application Data"
"19","0.755022","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [ACK] Seq=4536 Ack=1490 Win=32768 Len=0"
"20","0.758634","192.168.99.4","52.168.117.173","TCP","2974","50279  >  443 [ACK] Seq=1490 Ack=4536 Win=64189 Len=2920 [TCP segment of a reassembled PDU]"
"21","0.760819","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [ACK] Seq=4536 Ack=4410 Win=32768 Len=0"
"22","0.762147","192.168.99.4","52.168.117.173","TLSv1.2","1259","Application Data"
"23","0.766677","192.168.99.4","52.168.117.173","TLSv1.2","258","Application Data"
"24","0.767415","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [ACK] Seq=4536 Ack=5819 Win=31359 Len=0"
"25","0.794637","192.168.99.4","52.168.117.173","TCP","74","50280  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM TSval=2191567 TSecr=0"
"26","0.810570","52.168.117.173","192.168.99.4","TLSv1.2","784","Application Data"
"27","0.810570","52.168.117.173","192.168.99.4","TCP","60","443  >  50280 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"28","0.810664","192.168.99.4","52.168.117.173","TCP","54","50280  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0"
"29","0.815621","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [FIN, ACK] Seq=5819 Ack=5266 Win=63459 Len=0"
"30","0.816181","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [ACK] Seq=5266 Ack=5820 Win=31358 Len=0"
"31","0.835153","52.168.117.173","192.168.99.4","TCP","60","443  >  50279 [FIN, ACK] Seq=5266 Ack=5820 Win=31358 Len=0"
"32","0.835195","192.168.99.4","52.168.117.173","TCP","54","50279  >  443 [ACK] Seq=5820 Ack=5267 Win=63459 Len=0"
"33","0.854521","192.168.99.4","52.168.117.173","TLSv1.2","271","Client Hello (SNI=watson.events.data.microsoft.com)"
"34","0.886250","52.168.117.173","192.168.99.4","TCP","1436","443  >  50280 [PSH, ACK] Seq=1 Ack=218 Win=32551 Len=1382 [TCP segment of a reassembled PDU]"
"35","0.913320","52.168.117.173","192.168.99.4","TCP","1514","443  >  50280 [PSH, ACK] Seq=1383 Ack=218 Win=32551 Len=1460 [TCP segment of a reassembled PDU]"
"36","0.913384","192.168.99.4","52.168.117.173","TCP","54","50280  >  443 [ACK] Seq=218 Ack=2843 Win=64240 Len=0"
"37","0.914690","52.168.117.173","192.168.99.4","TCP","1358","443  >  50280 [PSH, ACK] Seq=2843 Ack=218 Win=32551 Len=1304 [TCP segment of a reassembled PDU]"
"38","0.955399","192.168.99.4","52.168.117.173","TCP","54","50280  >  443 [ACK] Seq=218 Ack=4147 Win=62936 Len=0"
"39","0.991454","52.168.117.173","192.168.99.4","TLSv1.2","392","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"40","1.040811","192.168.99.4","52.168.117.173","TCP","54","50280  >  443 [ACK] Seq=218 Ack=4485 Win=64240 Len=0"
"41","1.157965","192.168.99.4","52.168.117.173","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"42","1.199485","52.168.117.173","192.168.99.4","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"43","1.233911","192.168.99.4","52.168.117.173","TLSv1.2","1168","Application Data"
"44","1.235030","192.168.99.4","52.168.117.173","TCP","1514","50280  >  443 [ACK] Seq=1490 Ack=4536 Win=64189 Len=1460 [TCP segment of a reassembled PDU]"
"45","1.235588","52.168.117.173","192.168.99.4","TCP","60","443  >  50280 [ACK] Seq=4536 Ack=2950 Win=32768 Len=0"
"46","1.235623","192.168.99.4","52.168.117.173","TLSv1.2","2719","Application Data"
"47","1.235952","192.168.99.4","52.168.117.173","TLSv1.2","284","Application Data"
"48","1.236389","52.168.117.173","192.168.99.4","TCP","60","443  >  50280 [ACK] Seq=4536 Ack=5615 Win=32768 Len=0"
"49","1.258455","52.168.117.173","192.168.99.4","TCP","60","443  >  50280 [ACK] Seq=4536 Ack=5845 Win=32538 Len=0"
"50","1.353223","52.168.117.173","192.168.99.4","TLSv1.2","797","Application Data"
"51","1.379752","192.168.99.4","52.168.117.173","TCP","54","50280  >  443 [FIN, ACK] Seq=5845 Ack=5279 Win=63446 Len=0"
"52","1.381049","52.168.117.173","192.168.99.4","TCP","60","443  >  50280 [ACK] Seq=5279 Ack=5846 Win=32537 Len=0"
"53","1.454039","52.168.117.173","192.168.99.4","TCP","60","443  >  50280 [FIN, ACK] Seq=5279 Ack=5846 Win=32537 Len=0"
"54","1.454088","192.168.99.4","52.168.117.173","TCP","54","50280  >  443 [ACK] Seq=5846 Ack=5280 Win=63446 Len=0"
"55","6.167443","192.168.99.4","23.40.207.58","TCP","54","50263  >  80 [FIN, ACK] Seq=1 Ack=1 Win=63622 Len=0"
"56","6.167886","23.40.207.58","192.168.99.4","TCP","60","80  >  50263 [ACK] Seq=1 Ack=2 Win=32359 Len=0"
